Category,URL,brand,name,price,skin_type,skin_concern,rating
cleanser-and-exfoliator,https://www.sephora.my/products/sk-ii-facial-treatment-gentle-cleanser,SK-II,Facial Treatment Gentle Cleanser • 120g,RM249.00,"Skin Type: Combination, Dry, Normal, Oily","Blackheads, Dryness, Dullness, Uneven Skin Texture",4.5
cleanser-and-exfoliator,https://www.sephora.my/products/glow-recipe-glowing-skin-trio-skincare-kit-limited-edition,GLOW RECIPE,Glowing Skin Trio Skincare Kit (Limited Edition),RM185.00,"Skin Type: Combination, Dry, Normal, Oily","Dryness, Dullness, Fine Lines & Wrinkles, Visible Pores",4.5
cleanser-and-exfoliator,https://www.sephora.my/products/sephora-collection-triple-action-cleansing-micellar-water/v/400ml,SEPHORA COLLECTION,Triple Action Cleansing Micellar Water,RM79.00,"Skin Type: Combination, Dry, Normal, Oily",,4.5
cleanser-and-exfoliator,https://www.sephora.my/products/dr-dot-jart-plus-dermaclear-micro-ph-foam-facial-cleanser/v/120ml,DR.JART+,Dermaclear Micro pH Foam Facial Cleanser,RM90.00,"Skin Type: Combination, Dry, Oily, Sensitive","Acne & Blemishes, Dryness",4.5
cleanser-and-exfoliator,https://www.sephora.my/products/dr-dennis-gross-alpha-beta-r-pore-perfecting-cleansing-gel/v/225ml,DR. DENNIS GROSS,Alpha Beta® Pore Perfecting Cleansing Gel,RM165.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Dryness, Dullness, Visible Pores",4.5
cleanser-and-exfoliator,https://www.sephora.my/products/mario-badescu-acne-facial-cleanser,MARIO BADESCU,Acne Facial Cleanser,RM85.00,"Skin Type: Combination, Oily",Acne & Blemishes,4
cleanser-and-exfoliator,https://www.sephora.my/products/dr-dennis-gross-alpha-beta-pore-perfectors-skincare-kit,DR. DENNIS GROSS,Alpha Beta Pore Perfectors Skincare Kit,RM420.00,"Skin Type: Combination, Dry, Normal, Oily","Dullness, Firmness & Elasticity, Visible Pores",0
cleanser-and-exfoliator,https://www.sephora.my/products/clinique-liquid-facial-soap-mild,CLINIQUE,Liquid Facial Soap (Mild),RM100.00,"Skin Type: Combination, Normal, Sensitive","Dryness, Oiliness",4.5
cleanser-and-exfoliator,https://www.sephora.my/products/caudalie-fleur-de-vigne-instant-foaming-cleanser/v/150ml,CAUDALIE,Fleur De Vigne Instant Foaming Cleanser,RM99.00,"Skin Type: Combination, Normal, Oily, Sensitive",,4
cleanser-and-exfoliator,https://www.sephora.my/products/sephora-collection-all-over-face-and-body-solid-cleanser/v/coconut-milk,SEPHORA COLLECTION,All-Over Face & Body Solid Cleanser • 75g,RM29.00,"Skin Type: Combination, Dry, Normal, Oily",Dryness,4.5
